id,genre
236,Mystery
236,Sci-Fi
237,Action
237,Adventure
237,Fantasy
237,Sci-Fi
238,Action
238,Adventure
238,Fantasy
238,Sci-Fi
239,92
240,Action
240,Adventure
240,Sci-Fi
240,Thriller
241,Action
241,Adventure
241,Fantasy
241,Sci-Fi
242,Adventure
242,Animation
242,Comedy
242,Family
242,Fantasy
243,Adventure
243,Comedy
243,Family
243,Fantasy
244,Action
244,Drama
244,War
245,Action
245,Adventure
245,Drama
245,Fantasy
246,Action
246,Adventure
246,Comedy
246,Sci-Fi
247,Adventure
247,Drama
247,Sci-Fi
247,Thriller
248,Action
248,Adventure
248,Thriller
249,Action
249,Adventure
249,Comedy
249,Sci-Fi
250,Action
250,Adventure
250,Sci-Fi
251,Action
251,Adventure
251,Comedy
251,Family
251,Fantasy
252,Action
252,Adventure
252,Drama
252,Thriller
253,Action
253,Adventure
253,Thriller
254,Action
254,Drama
254,History
254,War
255,Crime
255,Thriller
256,Action
256,Comedy
256,Crime
256,Romance
256,Thriller
257,Adventure
257,Sci-Fi
257,Thriller
258,Biography
258,Drama
259,Adventure
259,Comedy
259,Family
259,Fantasy
260,Action
260,Comedy
260,Crime
260,Sci-Fi
260,Thriller
261,Action
261,Adventure
261,Crime
262,Action
262,Drama
262,Fantasy
262,War
263,Adventure
263,Animation
263,Comedy
263,Family
263,Fantasy
264,Animation
264,Comedy
264,Family
264,Music
264,Western
265,Action
265,Adventure
265,Mystery
265,Sci-Fi
265,Thriller
266,Action
266,Drama
266,Sci-Fi
266,Sport
267,Adventure
267,Animation
267,Comedy
267,Family
267,Fantasy
268,Action
268,Crime
268,Romance
268,Thriller
269,Action
269,Sci-Fi
270,Action
270,Adventure
270,Thriller
271,Action
271,Adventure
271,Drama
271,Fantasy
272,Action
272,Adventure
272,Comedy
273,Biography
273,Drama
273,Sport
274,Adventure
274,Comedy
274,Family
274,Fantasy
275,115
276,Action
276,Adventure
276,Drama
276,History
276,War
277,Adventure
277,Comedy
277,Family
277,Fantasy
278,Animation
278,Family
278,Fantasy
278,Musical
278,Romance
279,Adventure
279,Drama
279,Sci-Fi
280,22
281,Action
281,Adventure
281,Romance
281,Sci-Fi
281,Thriller
283,Action
283,Crime
283,Thriller
284,Action
284,Drama
284,Romance
285,Action
285,Mystery
285,Sci-Fi
285,Thriller
286,Adventure
286,Family
286,Fantasy
286,Mystery
287,Action
287,Adventure
287,Thriller
288,Action
288,Adventure
288,Sci-Fi
288,Thriller
289,Action
289,Sci-Fi
290,Biography
290,Crime
290,Drama
290,History
290,Romance
291,Biography
291,Crime
291,Drama
292,Action
292,Comedy
292,Thriller
293,Action
293,Crime
293,Thriller
294,Comedy
294,Romance
295,Action
295,Comedy
295,Crime
296,Action
296,Drama
296,Mystery
296,Thriller
297,Drama
297,Western
298,Animation
298,Drama
298,Family
298,Musical
298,Romance
299,Adventure
299,Animation
299,Comedy
299,Family
299,Fantasy
300,Action
300,Adventure
300,Thriller
301,Action
301,Adventure
301,Comedy
301,Family
301,Mystery
302,Action
302,Adventure
302,Family
302,Fantasy
303,Adventure
303,Drama
303,Family
303,Fantasy
305,Adventure
305,Animation
305,Family
305,Fantasy
306,Action
306,Romance
306,Thriller
307,Action
307,Fantasy
307,Horror
307,Mystery
308,Adventure
308,Drama
308,Thriller
309,Biography
309,Comedy
309,Crime
309,Drama
310,Action
310,Adventure
310,Fantasy
311,Action
311,Sci-Fi
311,War
312,Drama
312,Sci-Fi
313,Action
313,Adventure
313,Animation
313,Family
313,Fantasy
314,Action
314,Crime
314,Fantasy
314,Romance
314,Thriller
315,Action
315,Adventure
316,Adventure
316,Animation
316,Family
316,Sci-Fi
317,Adventure
317,Comedy
317,Sci-Fi
318,Action
318,Adventure
318,Thriller
319,Action
319,Crime
319,Sport
319,Thriller
320,Comedy
320,Family
320,Fantasy
321,Action
321,Adventure
321,Biography
321,Drama
321,History
321,Thriller
322,Action
322,Comedy
322,Sci-Fi
323,Action
323,Drama
323,Thriller
323,War
324,Adventure
324,Animation
324,Comedy
324,Family
325,Drama
325,Mystery
325,Thriller
326,Action
326,Adventure
326,Fantasy
326,Thriller
327,Crime
327,Drama
328,Drama
